Temperatura de equilibrio (K),Masa estelar (M☉),koi_disposition
1093.0,0.781,CONFIRMED
865.0,0.781,CANDIDATE
549.0,0.828,CONFIRMED
511.0,1.162,CONFIRMED
894.0,0.756,CONFIRMED
2362.0,1.115,CONFIRMED
890.0,0.978,CONFIRMED
390.0,0.966,CONFIRMED
604.0,1.046,CANDIDATE
613.0,1.398,CONFIRMED
958.0,0.609,CONFIRMED
530.0,0.609,CONFIRMED
669.0,0.609,CONFIRMED
800.0,0.83,CONFIRMED
1338.0,1.093,CONFIRMED
798.0,1.129,CONFIRMED
833.0,1.0,CONFIRMED
714.0,1.0,CONFIRMED
556.0,0.918,CONFIRMED
1846.0,0.874,CANDIDATE
1195.0,0.978,CONFIRMED
744.0,0.764,CONFIRMED
419.0,0.824,CONFIRMED
286.0,0.813,CONFIRMED
272.0,0.9,CANDIDATE
399.0,0.904,CONFIRMED
1748.0,1.01,CANDIDATE
531.0,0.518,CONFIRMED
204.0,0.518,CONFIRMED
1243.0,1.027,CONFIRMED
1116.0,1.334,CANDIDATE
417.0,0.952,CONFIRMED
353.0,0.952,CONFIRMED
602.0,0.26,CONFIRMED
855.0,0.946,CONFIRMED
731.0,1.13,CONFIRMED
1276.0,0.784,CONFIRMED
409.0,0.875,CONFIRMED
528.0,0.779,CONFIRMED
754.0,0.779,CANDIDATE
1050.0,1.001,CONFIRMED
614.0,1.086,CANDIDATE
571.0,0.762,CANDIDATE
264.0,1.129,CONFIRMED
665.0,0.952,CONFIRMED
660.0,1.02,CONFIRMED
842.0,0.926,CONFIRMED
462.0,0.926,CONFIRMED
686.0,1.023,CANDIDATE
487.0,0.874,CONFIRMED
602.0,0.758,CONFIRMED
384.0,0.806,CONFIRMED
577.0,0.587,CONFIRMED
392.0,0.974,CONFIRMED
899.0,0.939,CONFIRMED
634.0,0.974,CONFIRMED
325.0,0.734,CANDIDATE
540.0,1.221,CONFIRMED
539.0,0.957,CONFIRMED
905.0,1.247,CONFIRMED
658.0,1.247,CONFIRMED
699.0,0.968,CONFIRMED
425.0,0.772,CONFIRMED
931.0,1.092,CONFIRMED
570.0,0.806,CONFIRMED
1092.0,0.963,CONFIRMED
1290.0,0.957,CONFIRMED
472.0,0.552,CONFIRMED
652.0,0.875,CONFIRMED
393.0,0.991,CONFIRMED
1597.0,1.161,CONFIRMED
391.0,0.797,CONFIRMED
660.0,0.792,CONFIRMED
1453.0,1.275,CONFIRMED
573.0,0.776,CONFIRMED
714.0,0.776,CONFIRMED
417.0,0.937,CONFIRMED
1024.0,1.054,CONFIRMED
1268.0,0.937,CONFIRMED
691.0,0.995,CANDIDATE
1273.0,0.914,CANDIDATE
1217.0,0.937,CONFIRMED
1093.0,1.073,CONFIRMED
534.0,0.552,CONFIRMED
375.0,0.847,CONFIRMED
768.0,0.847,CANDIDATE
809.0,0.87,CONFIRMED
638.0,0.825,CONFIRMED
410.0,0.844,CONFIRMED
935.0,0.844,CONFIRMED
471.0,0.844,CONFIRMED
635.0,0.844,CONFIRMED
1157.0,0.931,CONFIRMED
1661.0,1.441,CONFIRMED
540.0,0.537,CONFIRMED
425.0,0.537,CONFIRMED
346.0,0.537,CONFIRMED
522.0,1.101,CONFIRMED
790.0,0.723,CONFIRMED
942.0,1.143,CONFIRMED
730.0,1.008,CONFIRMED
643.0,0.937,CONFIRMED
360.0,0.937,CONFIRMED
706.0,0.87,CONFIRMED
626.0,0.87,CONFIRMED
559.0,0.87,CONFIRMED
973.0,0.981,CONFIRMED
666.0,0.911,CONFIRMED
1017.0,0.919,CONFIRMED
721.0,0.919,CONFIRMED
498.0,0.919,CONFIRMED
745.0,0.575,CONFIRMED
1495.0,1.373,CONFIRMED
1026.0,0.946,CONFIRMED
791.0,1.064,CONFIRMED
652.0,0.547,CONFIRMED
522.0,1.149,CONFIRMED
529.0,0.875,CONFIRMED
830.0,0.92,CANDIDATE
802.0,0.58,CONFIRMED
1116.0,1.012,CONFIRMED
1077.0,2.382,CANDIDATE
1213.0,0.928,CONFIRMED
501.0,1.058,CONFIRMED
702.0,1.044,CONFIRMED
741.0,0.704,CONFIRMED
889.0,0.82,CONFIRMED
1127.0,0.82,CONFIRMED
781.0,0.82,CONFIRMED
465.0,0.948,CONFIRMED
464.0,0.646,CONFIRMED
627.0,0.742,CONFIRMED
703.0,0.774,CONFIRMED
760.0,0.9,CANDIDATE
403.0,0.522,CONFIRMED
340.0,0.868,CONFIRMED
914.0,1.026,CONFIRMED
675.0,0.813,CONFIRMED
575.0,0.71,CONFIRMED
622.0,0.71,CONFIRMED
451.0,0.704,CONFIRMED
823.0,1.115,CONFIRMED
1101.0,1.148,CONFIRMED
814.0,0.811,CONFIRMED
1849.0,1.054,CONFIRMED
1087.0,0.819,CONFIRMED
1060.0,1.064,CONFIRMED
402.0,0.858,CONFIRMED
699.0,0.941,CONFIRMED
1155.0,1.268,CONFIRMED
480.0,0.609,CONFIRMED
1438.0,1.253,CONFIRMED
386.0,0.609,CONFIRMED
822.0,0.957,CONFIRMED
1090.0,0.957,CONFIRMED
1008.0,1.065,CONFIRMED
654.0,1.065,CONFIRMED
1301.0,1.038,CONFIRMED
326.0,0.875,CONFIRMED
1003.0,1.053,CONFIRMED
770.0,0.806,CONFIRMED
956.0,0.686,CONFIRMED
576.0,1.045,CONFIRMED
1200.0,0.888,CONFIRMED
1122.0,0.873,CONFIRMED
577.0,0.555,CONFIRMED
503.0,0.555,CANDIDATE
1599.0,0.951,CONFIRMED
1168.0,0.951,CONFIRMED
544.0,0.786,CONFIRMED
656.0,0.957,CONFIRMED
477.0,0.815,CONFIRMED
920.0,1.017,CONFIRMED
934.0,0.877,CONFIRMED
766.0,0.955,CONFIRMED
712.0,1.174,CONFIRMED
773.0,0.794,CONFIRMED
285.0,0.868,CONFIRMED
2080.0,0.953,CONFIRMED
633.0,1.002,CONFIRMED
840.0,1.002,CONFIRMED
1016.0,0.928,CONFIRMED
1279.0,1.213,CANDIDATE
913.0,1.094,CONFIRMED
546.0,1.097,CONFIRMED
792.0,0.87,CONFIRMED
845.0,1.014,CONFIRMED
1103.0,1.021,CONFIRMED
955.0,1.15,CONFIRMED
1290.0,1.212,CONFIRMED
749.0,1.088,CONFIRMED
612.0,1.102,CONFIRMED
967.0,1.088,CONFIRMED
1625.0,1.088,CONFIRMED
300.0,0.929,CONFIRMED
644.0,1.043,CONFIRMED
908.0,1.0,CONFIRMED
574.0,0.561,CONFIRMED
532.0,0.904,CONFIRMED
1294.0,1.094,CONFIRMED
905.0,0.924,CONFIRMED
540.0,1.008,CONFIRMED
568.0,0.581,CONFIRMED
818.0,0.516,CONFIRMED
1111.0,1.025,CONFIRMED
485.0,1.149,CONFIRMED
484.0,0.906,CONFIRMED
592.0,0.898,CANDIDATE
391.0,0.941,CONFIRMED
603.0,1.041,CONFIRMED
614.0,0.865,CONFIRMED
1040.0,1.412,CONFIRMED
1540.0,1.01,CONFIRMED
831.0,0.879,CONFIRMED
1058.0,1.18,CONFIRMED
564.0,0.811,CONFIRMED
512.0,0.815,CONFIRMED
1088.0,0.887,CONFIRMED
786.0,1.023,CONFIRMED
1096.0,1.124,CANDIDATE
329.0,0.905,CONFIRMED
887.0,0.988,CONFIRMED
548.0,1.212,CONFIRMED
972.0,0.902,CONFIRMED
323.0,0.868,CONFIRMED
410.0,0.981,CANDIDATE
986.0,0.949,CONFIRMED
791.0,0.949,CONFIRMED
1253.0,0.949,CONFIRMED
402.0,0.902,CONFIRMED
852.0,1.102,CONFIRMED
465.0,0.976,CONFIRMED
1017.0,1.014,CONFIRMED
503.0,1.071,CONFIRMED
619.0,0.571,CONFIRMED
625.0,0.528,CONFIRMED
1039.0,1.276,CONFIRMED
412.0,0.996,CONFIRMED
1114.0,1.034,CANDIDATE
360.0,0.871,CONFIRMED
340.0,0.769,CONFIRMED
824.0,0.933,CANDIDATE
1647.0,1.068,CONFIRMED
465.0,0.88,CONFIRMED
611.0,1.122,CONFIRMED
1155.0,0.942,CONFIRMED
1458.0,1.014,CONFIRMED
1005.0,1.086,CONFIRMED
831.0,1.086,CONFIRMED
680.0,1.086,CONFIRMED
1143.0,1.086,CONFIRMED
1023.0,0.87,CONFIRMED
935.0,1.276,CONFIRMED
784.0,0.811,CONFIRMED
398.0,0.901,CANDIDATE
850.0,1.337,CONFIRMED
369.0,1.089,CONFIRMED
1436.0,0.903,CONFIRMED
1262.0,1.023,CANDIDATE
545.0,0.778,CONFIRMED
351.0,0.914,CONFIRMED
682.0,0.513,CONFIRMED
387.0,0.513,CONFIRMED
537.0,0.513,CONFIRMED
368.0,0.54,CONFIRMED
796.0,0.87,CONFIRMED
735.0,1.021,CANDIDATE
914.0,0.87,CONFIRMED
946.0,1.421,CONFIRMED
498.0,0.895,CONFIRMED
1196.0,1.259,CONFIRMED
522.0,0.937,CONFIRMED
953.0,0.715,CONFIRMED
1177.0,1.132,CONFIRMED
882.0,0.893,CONFIRMED
664.0,0.802,CONFIRMED
1056.0,1.021,CONFIRMED
805.0,0.831,CONFIRMED
276.0,0.748,CONFIRMED
1562.0,1.021,CONFIRMED
506.0,0.885,CANDIDATE
475.0,1.161,CONFIRMED
443.0,0.77,CANDIDATE
1164.0,0.726,CONFIRMED
325.0,0.826,CONFIRMED
634.0,0.821,CONFIRMED
1304.0,0.914,CONFIRMED
590.0,0.762,CONFIRMED
724.0,0.99,CONFIRMED
1046.0,0.997,CONFIRMED
239.0,0.538,CONFIRMED
830.0,0.783,CANDIDATE
876.0,0.875,CONFIRMED
538.0,0.79,CONFIRMED
528.0,0.875,CONFIRMED
1023.0,0.875,CONFIRMED
402.0,0.559,CONFIRMED
547.0,0.559,CONFIRMED
903.0,0.932,CONFIRMED
260.0,0.584,CONFIRMED
510.0,0.818,CONFIRMED
512.0,0.573,CONFIRMED
413.0,1.047,CANDIDATE
676.0,0.869,CONFIRMED
819.0,0.984,CONFIRMED
908.0,0.813,CONFIRMED
972.0,1.035,CONFIRMED
763.0,1.035,CONFIRMED
724.0,0.887,CONFIRMED
484.0,0.943,CONFIRMED
483.0,1.061,CONFIRMED
752.0,1.022,CONFIRMED
1042.0,1.022,CONFIRMED
749.0,0.864,CONFIRMED
623.0,1.241,CONFIRMED
352.0,0.6,CONFIRMED
957.0,0.561,CONFIRMED
1459.0,1.093,CONFIRMED
524.0,0.941,CONFIRMED
654.0,1.031,CANDIDATE
876.0,0.967,CANDIDATE
888.0,1.111,CONFIRMED
782.0,1.111,CONFIRMED
1037.0,1.111,CONFIRMED
1332.0,0.994,CONFIRMED
1912.0,2.646,CONFIRMED
1391.0,0.97,CONFIRMED
656.0,0.628,CANDIDATE
642.0,0.901,CONFIRMED
689.0,0.873,CONFIRMED
517.0,0.82,CONFIRMED
1272.0,0.999,CONFIRMED
1709.0,1.133,CONFIRMED
548.0,0.739,CANDIDATE
926.0,0.739,CANDIDATE
376.0,0.851,CONFIRMED
940.0,0.957,CONFIRMED
1043.0,1.013,CANDIDATE
622.0,0.957,CONFIRMED
1085.0,0.957,CONFIRMED
431.0,0.91,CONFIRMED
498.0,0.91,CONFIRMED
591.0,0.796,CONFIRMED
694.0,0.796,CONFIRMED
583.0,0.645,CONFIRMED
996.0,0.883,CONFIRMED
1373.0,0.883,CONFIRMED
423.0,1.099,CONFIRMED
1292.0,0.998,CONFIRMED
1659.0,0.998,CONFIRMED
1020.0,1.021,CONFIRMED
1355.0,1.173,CONFIRMED
473.0,1.406,CONFIRMED
693.0,0.938,CONFIRMED
804.0,0.938,CONFIRMED
1082.0,0.812,CANDIDATE
1022.0,0.79,CONFIRMED
1079.0,1.406,CONFIRMED
677.0,1.063,CONFIRMED
839.0,0.907,CONFIRMED
702.0,0.707,CONFIRMED
436.0,0.977,CONFIRMED
1011.0,0.761,CONFIRMED
1304.0,1.032,CONFIRMED
794.0,0.625,CONFIRMED
267.0,0.734,CONFIRMED
1319.0,0.945,CONFIRMED
997.0,0.785,CONFIRMED
1558.0,1.077,CONFIRMED
401.0,0.79,CONFIRMED
357.0,0.79,CONFIRMED
609.0,0.649,CANDIDATE
357.0,0.649,CONFIRMED
581.0,0.649,CONFIRMED
485.0,0.561,CONFIRMED
490.0,0.861,CONFIRMED
763.0,0.856,CONFIRMED
1211.0,1.143,CONFIRMED
936.0,0.803,CONFIRMED
830.0,0.884,CONFIRMED
931.0,0.899,CONFIRMED
614.0,0.928,CANDIDATE
1174.0,0.725,CONFIRMED
1000.0,1.03,CONFIRMED
813.0,0.996,CONFIRMED
393.0,0.852,CONFIRMED
546.0,1.027,CONFIRMED
736.0,1.084,CONFIRMED
800.0,1.136,CONFIRMED
384.0,0.805,CONFIRMED
391.0,0.561,CONFIRMED
687.0,0.561,CONFIRMED
931.0,1.037,CONFIRMED
828.0,0.799,CANDIDATE
644.0,1.13,CONFIRMED
486.0,0.928,CONFIRMED
789.0,0.956,CONFIRMED
547.0,0.93,CONFIRMED
1188.0,0.576,CONFIRMED
448.0,1.054,CONFIRMED
1667.0,0.857,CONFIRMED
1321.0,1.306,CONFIRMED
1116.0,0.937,CONFIRMED
860.0,0.937,CONFIRMED
616.0,0.897,CONFIRMED
425.0,0.785,CONFIRMED
703.0,0.945,CONFIRMED
913.0,0.929,CONFIRMED
611.0,0.876,CONFIRMED
647.0,0.955,CONFIRMED
1040.0,0.955,CONFIRMED
1419.0,0.715,CONFIRMED
379.0,0.817,CONFIRMED
3015.0,1.754,CANDIDATE
1125.0,1.27,CONFIRMED
1217.0,1.107,CONFIRMED
799.0,0.996,CONFIRMED
1180.0,1.198,CONFIRMED
1576.0,1.198,CONFIRMED
1387.0,1.198,CONFIRMED
671.0,0.897,CONFIRMED
729.0,0.713,CONFIRMED
602.0,0.824,CONFIRMED
2199.0,1.165,CONFIRMED
520.0,0.768,CONFIRMED
451.0,0.912,CONFIRMED
620.0,0.803,CANDIDATE
983.0,0.974,CANDIDATE
459.0,0.763,CANDIDATE
479.0,0.581,CONFIRMED
705.0,0.91,CONFIRMED
844.0,0.896,CONFIRMED
2700.0,1.462,CONFIRMED
873.0,0.998,CONFIRMED
1242.0,0.998,CONFIRMED
681.0,1.443,CONFIRMED
560.0,0.715,CONFIRMED
1051.0,1.117,CONFIRMED
665.0,0.792,CONFIRMED
1897.0,0.82,CONFIRMED
771.0,0.832,CONFIRMED
1063.0,0.873,CONFIRMED
787.0,1.41,CONFIRMED
598.0,1.018,CONFIRMED
897.0,0.995,CONFIRMED
922.0,0.637,CONFIRMED
554.0,0.802,CONFIRMED
755.0,1.147,CONFIRMED
1080.0,0.945,CONFIRMED
677.0,1.027,CONFIRMED
875.0,1.027,CONFIRMED
675.0,0.931,CONFIRMED
1650.0,0.874,CONFIRMED
1156.0,1.097,CONFIRMED
856.0,0.874,CONFIRMED
840.0,1.048,CONFIRMED
428.0,0.715,CONFIRMED
1012.0,1.048,CANDIDATE
761.0,1.581,CANDIDATE
311.0,0.593,CANDIDATE
684.0,1.069,CONFIRMED
609.0,0.607,CONFIRMED
1693.0,0.907,CONFIRMED
1108.0,1.087,CONFIRMED
500.0,0.741,CONFIRMED
1459.0,0.962,CANDIDATE
515.0,0.957,CONFIRMED
595.0,0.913,CONFIRMED
860.0,0.873,CONFIRMED
1756.0,1.003,CANDIDATE
1314.0,0.734,CONFIRMED
802.0,1.099,CONFIRMED
1616.0,1.017,CANDIDATE
938.0,1.143,CONFIRMED
408.0,0.593,CONFIRMED
918.0,1.235,CONFIRMED
442.0,0.893,CONFIRMED
1902.0,1.218,CONFIRMED
1471.0,0.995,CONFIRMED
1159.0,0.995,CONFIRMED
902.0,0.962,CONFIRMED
976.0,0.817,CONFIRMED
811.0,0.974,CONFIRMED
503.0,0.748,CONFIRMED
456.0,0.721,CANDIDATE
530.0,1.098,CONFIRMED
310.0,0.786,CONFIRMED
463.0,0.878,CONFIRMED
1022.0,0.684,CONFIRMED
1367.0,0.813,CANDIDATE
674.0,1.205,CONFIRMED
755.0,1.212,CONFIRMED
1177.0,1.286,CONFIRMED
558.0,1.048,CONFIRMED
568.0,1.085,CONFIRMED
631.0,0.796,CONFIRMED
958.0,0.732,CONFIRMED
1019.0,0.836,CONFIRMED
601.0,0.773,CONFIRMED
460.0,0.912,CANDIDATE
669.0,0.972,CONFIRMED
400.0,0.968,CANDIDATE
622.0,0.822,CANDIDATE
377.0,0.938,CONFIRMED
909.0,0.963,CONFIRMED
795.0,1.01,CONFIRMED
1156.0,1.197,CONFIRMED
353.0,0.939,CANDIDATE
1166.0,0.963,CONFIRMED
882.0,0.963,CONFIRMED
1381.0,2.335,CONFIRMED
488.0,0.968,CONFIRMED
938.0,0.945,CONFIRMED
502.0,0.801,CONFIRMED
938.0,1.024,CONFIRMED
1054.0,0.946,CONFIRMED
729.0,0.946,CONFIRMED
747.0,0.995,CONFIRMED
877.0,0.807,CONFIRMED
1467.0,1.024,CONFIRMED
1209.0,1.021,CONFIRMED
469.0,0.534,CANDIDATE
760.0,1.173,CONFIRMED
1137.0,0.765,CONFIRMED
765.0,0.906,CONFIRMED
1827.0,0.95,CONFIRMED
402.0,0.791,CONFIRMED
793.0,0.791,CONFIRMED
576.0,0.791,CONFIRMED
1027.0,0.771,CONFIRMED
543.0,1.016,CONFIRMED
747.0,0.804,CONFIRMED
905.0,1.173,CONFIRMED
1054.0,1.173,CONFIRMED
1272.0,1.024,CONFIRMED
1761.0,1.024,CONFIRMED
872.0,1.041,CONFIRMED
1526.0,2.607,CANDIDATE
1397.0,0.723,CONFIRMED
1374.0,1.336,CONFIRMED
796.0,1.006,CONFIRMED
561.0,1.047,CONFIRMED
1000.0,0.888,CONFIRMED
448.0,0.827,CONFIRMED
1737.0,1.076,CONFIRMED
491.0,1.117,CONFIRMED
433.0,0.651,CONFIRMED
1347.0,1.173,CONFIRMED
1008.0,1.287,CONFIRMED
683.0,1.028,CONFIRMED
526.0,0.928,CONFIRMED
1128.0,1.014,CONFIRMED
391.0,0.97,CANDIDATE
1432.0,0.952,CONFIRMED
618.0,0.995,CONFIRMED
805.0,0.896,CANDIDATE
817.0,1.013,CONFIRMED
555.0,0.944,CONFIRMED
529.0,1.084,CONFIRMED
644.0,0.946,CONFIRMED
505.0,1.166,CANDIDATE
2161.0,0.903,CONFIRMED
411.0,1.032,CONFIRMED
554.0,1.032,CONFIRMED
1506.0,1.501,CANDIDATE
682.0,1.02,CONFIRMED
568.0,1.109,CONFIRMED
753.0,1.109,CONFIRMED
770.0,1.016,CONFIRMED
350.0,0.49,CANDIDATE
1061.0,0.869,CONFIRMED
621.0,0.463,CONFIRMED
485.0,1.008,CONFIRMED
694.0,0.882,CONFIRMED
380.0,0.921,CONFIRMED
724.0,1.083,CONFIRMED
701.0,1.028,CONFIRMED
507.0,0.782,CONFIRMED
775.0,1.114,CONFIRMED
706.0,1.013,CONFIRMED
1021.0,0.985,CONFIRMED
575.0,0.591,CONFIRMED
1047.0,0.878,CONFIRMED
1102.0,0.973,CONFIRMED
1023.0,0.973,CONFIRMED
1533.0,1.33,CONFIRMED
964.0,0.955,CANDIDATE
778.0,1.042,CONFIRMED
374.0,0.794,CONFIRMED
720.0,0.922,CONFIRMED
851.0,0.922,CONFIRMED
455.0,0.946,CONFIRMED
543.0,0.995,CONFIRMED
806.0,0.543,CONFIRMED
1158.0,0.943,CONFIRMED
609.0,0.734,CONFIRMED
718.0,1.068,CONFIRMED
421.0,1.135,CONFIRMED
1711.0,1.0,CANDIDATE
929.0,0.973,CONFIRMED
667.0,1.024,CONFIRMED
584.0,0.619,CONFIRMED
713.0,0.85,CONFIRMED
512.0,1.107,CONFIRMED
865.0,1.037,CONFIRMED
994.0,0.872,CONFIRMED
1210.0,0.996,CONFIRMED
424.0,0.966,CONFIRMED
737.0,0.998,CONFIRMED
1034.0,1.162,CONFIRMED
1343.0,0.928,CONFIRMED
1314.0,1.25,CONFIRMED
609.0,0.96,CONFIRMED
787.0,0.923,CONFIRMED
1520.0,0.828,CONFIRMED
952.0,0.858,CONFIRMED
600.0,1.016,CONFIRMED
806.0,0.49,CONFIRMED
1125.0,1.032,CONFIRMED
671.0,1.107,CONFIRMED
2628.0,0.763,CANDIDATE
455.0,0.591,CONFIRMED
496.0,0.869,CONFIRMED
1664.0,1.037,CONFIRMED
1047.0,0.975,CANDIDATE
1326.0,1.064,CONFIRMED
848.0,1.064,CONFIRMED
904.0,0.944,CONFIRMED
1072.0,0.944,CONFIRMED
732.0,0.601,CONFIRMED
1059.0,0.812,CONFIRMED
704.0,0.821,CANDIDATE
1638.0,0.812,CANDIDATE
1453.0,1.088,CONFIRMED
1329.0,0.915,CONFIRMED
1317.0,0.995,CONFIRMED
1056.0,0.995,CONFIRMED
676.0,0.9,CONFIRMED
703.0,0.773,CONFIRMED
508.0,1.038,CONFIRMED
776.0,1.011,CONFIRMED
480.0,1.039,CONFIRMED
1108.0,0.993,CONFIRMED
981.0,0.944,CONFIRMED
1225.0,0.944,CANDIDATE
1159.0,1.035,CONFIRMED
829.0,0.936,CONFIRMED
325.0,0.513,CANDIDATE
510.0,0.513,CANDIDATE
886.0,1.037,CONFIRMED
496.0,0.893,CONFIRMED
359.0,0.581,CONFIRMED
588.0,0.853,CONFIRMED
954.0,1.219,CONFIRMED
1156.0,1.03,CONFIRMED
1757.0,0.776,CONFIRMED
934.0,1.097,CONFIRMED
808.0,0.922,CONFIRMED
545.0,0.712,CONFIRMED
501.0,0.863,CONFIRMED
660.0,0.771,CONFIRMED
1371.0,1.048,CANDIDATE
694.0,1.115,CONFIRMED
385.0,0.537,CONFIRMED
913.0,0.996,CONFIRMED
543.0,0.75,CANDIDATE
1213.0,0.934,CONFIRMED
1233.0,0.997,CANDIDATE
1203.0,0.849,CONFIRMED
691.0,1.049,CANDIDATE
1573.0,1.049,CANDIDATE
1270.0,0.926,CANDIDATE
406.0,0.712,CONFIRMED
670.0,0.889,CONFIRMED
531.0,0.889,CONFIRMED
1093.0,1.053,CONFIRMED
1012.0,1.049,CONFIRMED
391.0,0.515,CONFIRMED
933.0,1.039,CONFIRMED
1074.0,0.939,CONFIRMED
584.0,0.686,CONFIRMED
1252.0,0.996,CONFIRMED
738.0,1.046,CONFIRMED
757.0,1.648,CONFIRMED
730.0,0.587,CONFIRMED
734.0,0.884,CONFIRMED
347.0,0.669,CONFIRMED
1185.0,1.097,CONFIRMED
196.0,0.482,CONFIRMED
946.0,1.048,CONFIRMED
870.0,0.936,CONFIRMED
2335.0,1.121,CONFIRMED
1681.0,0.878,CONFIRMED
823.0,1.097,CONFIRMED
652.0,0.537,CONFIRMED
956.0,0.976,CANDIDATE
1629.0,0.886,CANDIDATE
935.0,1.08,CANDIDATE
778.0,0.855,CONFIRMED
891.0,0.99,CONFIRMED
292.0,0.526,CONFIRMED
497.0,0.526,CONFIRMED
903.0,0.534,CANDIDATE
523.0,0.869,CONFIRMED
604.0,1.191,CONFIRMED
625.0,0.856,CONFIRMED
396.0,0.776,CONFIRMED
509.0,0.541,CONFIRMED
786.0,0.793,CONFIRMED
1793.0,2.734,CANDIDATE
815.0,0.976,CANDIDATE
314.0,0.531,CONFIRMED
715.0,0.888,CONFIRMED
733.0,0.99,CONFIRMED
678.0,0.932,CONFIRMED
985.0,0.914,CONFIRMED
458.0,0.829,CONFIRMED
552.0,0.785,CONFIRMED
625.0,1.038,CONFIRMED
949.0,1.008,CONFIRMED
843.0,1.041,CONFIRMED
1455.0,1.09,CONFIRMED
1123.0,0.977,CONFIRMED
276.0,0.537,CONFIRMED
697.0,0.874,CONFIRMED
617.0,1.161,CONFIRMED
1883.0,0.942,CONFIRMED
655.0,1.0,CANDIDATE
390.0,0.918,CONFIRMED
480.0,0.821,CONFIRMED
829.0,1.157,CONFIRMED
951.0,1.157,CONFIRMED
818.0,0.877,CANDIDATE
907.0,0.797,CONFIRMED
443.0,0.541,CONFIRMED
1187.0,0.962,CONFIRMED
1125.0,0.91,CONFIRMED
1418.0,1.102,CONFIRMED
764.0,0.95,CONFIRMED
598.0,0.599,CONFIRMED
1083.0,1.116,CANDIDATE
941.0,0.837,CANDIDATE
834.0,1.03,CONFIRMED
768.0,1.049,CONFIRMED
366.0,1.005,CONFIRMED
564.0,0.829,CONFIRMED
1389.0,1.23,CONFIRMED
645.0,0.917,CANDIDATE
758.0,1.032,CONFIRMED
1701.0,1.164,CANDIDATE
1677.0,0.989,CONFIRMED
1703.0,0.896,CONFIRMED
348.0,1.07,CANDIDATE
2034.0,1.482,CONFIRMED
590.0,0.534,CONFIRMED
662.0,0.47,CONFIRMED
491.0,0.758,CONFIRMED
411.0,0.814,CANDIDATE
1183.0,1.207,CONFIRMED
1121.0,0.969,CONFIRMED
513.0,0.797,CONFIRMED
717.0,0.665,CANDIDATE
732.0,0.724,CONFIRMED
717.0,0.541,CONFIRMED
489.0,0.791,CONFIRMED
874.0,1.244,CONFIRMED
888.0,1.022,CONFIRMED
1052.0,1.098,CONFIRMED
901.0,1.098,CONFIRMED
496.0,0.918,CONFIRMED
1080.0,1.19,CONFIRMED
391.0,1.032,CONFIRMED
1019.0,1.032,CONFIRMED
1671.0,1.032,CONFIRMED
994.0,0.824,CONFIRMED
826.0,0.824,CONFIRMED
612.0,0.928,CONFIRMED
481.0,0.902,CANDIDATE
656.0,0.803,CONFIRMED
881.0,0.791,CONFIRMED
774.0,0.756,CONFIRMED
774.0,0.926,CONFIRMED
627.0,1.072,CONFIRMED
355.0,0.709,CONFIRMED
1035.0,1.141,CONFIRMED
901.0,1.141,CONFIRMED
1165.0,1.141,CONFIRMED
614.0,1.069,CANDIDATE
591.0,0.787,CONFIRMED
646.0,0.817,CANDIDATE
892.0,0.715,CONFIRMED
1046.0,0.864,CONFIRMED
639.0,0.805,CONFIRMED
474.0,0.915,CANDIDATE
690.0,0.932,CONFIRMED
1008.0,0.611,CONFIRMED
776.0,0.967,CONFIRMED
503.0,0.734,CONFIRMED
371.0,0.541,CONFIRMED
529.0,0.534,CONFIRMED
796.0,0.941,CONFIRMED
563.0,1.284,CANDIDATE
558.0,0.787,CANDIDATE
990.0,1.047,CANDIDATE
1191.0,0.975,CONFIRMED
608.0,0.247,CANDIDATE
1839.0,1.23,CONFIRMED
657.0,1.104,CONFIRMED
523.0,0.769,CANDIDATE
760.0,0.927,CONFIRMED
1598.0,1.066,CONFIRMED
1484.0,1.066,CONFIRMED
2131.0,0.925,CANDIDATE
2017.0,1.436,CONFIRMED
916.0,1.562,CANDIDATE
827.0,1.17,CANDIDATE
1542.0,1.114,CONFIRMED
1043.0,0.795,CONFIRMED
554.0,0.634,CONFIRMED
676.0,0.923,CONFIRMED
1097.0,1.187,CONFIRMED
1035.0,1.251,CONFIRMED
1222.0,1.066,CANDIDATE
386.0,0.765,CONFIRMED
542.0,1.005,CONFIRMED
420.0,0.8,CONFIRMED
374.0,0.396,CONFIRMED
1065.0,1.502,CANDIDATE
362.0,0.529,CONFIRMED
417.0,0.924,CANDIDATE
1098.0,1.045,CONFIRMED
684.0,0.97,CONFIRMED
1159.0,1.464,CONFIRMED
899.0,0.957,CONFIRMED
830.0,0.626,CONFIRMED
515.0,0.626,CONFIRMED
1140.0,0.997,CONFIRMED
1425.0,1.136,CONFIRMED
849.0,0.385,CONFIRMED
1344.0,0.782,CONFIRMED
739.0,0.857,CONFIRMED
1195.0,1.079,CONFIRMED
645.0,0.9,CONFIRMED
848.0,0.765,CONFIRMED
632.0,0.688,CONFIRMED
1246.0,0.815,CONFIRMED
1049.0,1.03,CONFIRMED
647.0,1.045,CONFIRMED
284.0,0.774,CONFIRMED
542.0,0.823,CONFIRMED
573.0,1.038,CONFIRMED
1384.0,1.429,CONFIRMED
946.0,0.873,CONFIRMED
5171.0,0.984,CANDIDATE
431.0,0.537,CONFIRMED
530.0,0.581,CONFIRMED
1183.0,1.23,CONFIRMED
